Reporting Entity,Facility Name,Type,State,Electricity Production (GJ),ACTUAL_GEN,EMISSION,EMISSION_SCOPE_2,TOTAL_EMISSION,EMISSION INTENSITY,Grid Connected,Grid,FUELTYPE,Important Notes
Acciona Energy Oceania Pty. Ltd.,Cathedral Rocks Wind Farm,F,SA,"632,284","175,634",39,213,252,0,On,NEM,Wind,-
Acciona Energy Oceania Pty. Ltd.,Gunning Wind Farm,F,NSW,"592,807","164,669",44,195,239,0,On,NEM,Wind,-
Acciona Energy Oceania Pty. Ltd.,Mt Gellibrand Wind Farm,F,VIC,"844,669","234,630",36,864,900,0,On,NEM,Wind,-
Acciona Energy Oceania Pty. Ltd.,Waubra Wind Farm,F,VIC,"2,261,159","628,100",92,901,993,0,On,NEM,Wind,-
Acciona Energy Oceania Pty. Ltd.,Corporate Total,C,-,"4,330,919","1,203,033",211,"2,173","2,384",-,-,-,-,-
AGL Energy Limited,Banimboola Hydro,F,VIC,"153,268","42,574",15,6,21,0,On,NEM,Hydro,-
AGL Energy Limited,Bayswater Power Station,F,NSW,"57,455,186","15,959,774","14,071,088","44,325","14,115,413",0.88,On,NEM,Black Coal,-
AGL Energy Limited,Bogong Power Station,F,VIC,"285,290","79,247",79,860,939,0,On,NEM,Hydro,-
AGL Energy Limited,Broken Hill Solar Plant,F,NSW,"445,268","123,686",81,344,425,0,On,NEM,Solar,-
AGL Energy Limited,Burrendong Hydro,F,NSW,"22,225","6,174",1,53,54,0,On,NEM,Hydro,-
AGL Energy Limited,Clover Hydro,F,VIC,"126,367","35,102",3,295,298,0,On,NEM,Hydro,-
AGL Energy Limited,Coopers Cogeneration,F,SA,"51,189","14,219","10,409",40,"10,449",0.73,On,NEM,Gas,-
AGL Energy Limited,Copeton Hydro,F,NSW,"135,016","37,504",1,27,28,0,On,NEM,Hydro,-
AGL Energy Limited,Dartmouth Hydro,F,VIC,"1,799,330","499,814",2,177,179,0,On,NEM,Hydro,-
AGL Energy Limited,Eildon Hydro,F,VIC,"647,219","179,783",0,"1,463","1,463",0,On,NEM,Hydro,-
AGL Energy Limited,Glenbawn Hydro,F,NSW,"7,601","2,111",0,10,10,0,On,NEM,Hydro,-
AGL Energy Limited,Glenorchy Landfill Generation,F,TAS,"6,546","1,818",105,0,105,0.06,On,NEM,Landfill Gas,-
AGL Energy Limited,Hallett (Stage 1) Wind Farm,F,SA,"1,160,489","322,358",98,205,303,0,On,NEM,Wind,-
AGL Energy Limited,Hallett (Stage 2) Wind Farm,F,SA,"942,452","261,792",75,150,225,0,On,NEM,Wind,-
AGL Energy Limited,Hallett (Stage 4) Wind Farm,F,SA,"1,692,633","470,176",145,350,495,0,On,NEM,Wind,-
AGL Energy Limited,Hallett (Stage 5) Wind Farm,F,SA,"567,813","157,726",62,173,235,0,On,NEM,Wind,-
AGL Energy Limited,Hobart Landfill Generation,F,TAS,"4,694","1,304",74,0,74,0.06,On,NEM,Landfill Gas,-
AGL Energy Limited,Hunter Valley Gas Turbines,F,NSW,"9,061","2,517","2,975",815,"3,790",1.18,On,NEM,Gas,-
AGL Energy Limited,Kemps Creek Landfill Generation,F,NSW,"3,707","1,030",54,12,66,0.05,On,NEM,Landfill Gas,-
AGL Energy Limited,Kincumber Landfill Generation,F,NSW,"1,407",391,27,5,32,0.07,On,NEM,Landfill Gas,-
AGL Energy Limited,Liddell Power Station,F,NSW,"33,269,876","9,241,632","8,487,697","40,725","8,528,422",0.92,On,NEM,Black Coal,-
AGL Energy Limited,Loy Yang Power Station and Mine,F,VIC,"57,454,359","15,959,544","18,544,718","253,801","18,798,519",1.16,On,NEM,Brown Coal,-
AGL Energy Limited,Macarthur Wind Farm,F,VIC,"3,837,422","1,065,951",451,"3,025","3,476",0,On,NEM,Wind,-
AGL Energy Limited,McKay Creek Hydro,F,VIC,"357,324","99,257",0,"5,221","5,221",0,On,NEM,Hydro,-
