Reporting Entity,Facility Name,Type,State,Electricity Production (GJ),ACTUAL_GEN,EMISSION,EMISSION_SCOPE_2,TOTAL_EMISSION,EMISSION INTENSITY,Grid Connected,Grid,FUELTYPE,Important Notes
RISEN ENERGY (AUSTRALIA) PTY LTD,Yarranlea Solar Farm,F,QLD,"160,033","44,454",1,0,1,0,On,NEM,Solar,-
RISEN ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,-,"160,033","44,454",1,0,1,-,-,-,-,-
SALT CREEK WIND FARM PTY LTD,Salt Creek Wind Farm,F,VIC,"640,102","177,806",27,282,309,0,On,NEM,Wind,-
SALT CREEK WIND FARM PTY LTD,Corporate Total,C,-,"640,102","177,806",27,282,309,-,-,-,-,-
SANTOS LIMITED,Wilga Park Power Station,F,NSW,"376,171","104,492","56,865",28,"56,893",0.54,On,NEM,Coal Seam Methane,-
SANTOS LIMITED,Corporate Total,C,-,"376,171","104,492","56,865",28,"56,893",-,-,-,-,-
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,Newgen Neerabup Power Station,F,WA,"1,520,531","422,370","254,037","2,683","256,720",0.6,On,SWIS,Gas,-
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,Oakey Power Station,F,QLD,"102,119","28,367","20,011","2,130","22,141",0.71,On,NEM,Gas,-
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,Corporate Total,C,-,"1,622,650","450,736","274,048","4,813","278,861",-,-,-,-,-
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED,Musselroe Wind Farm Pty LTd,F,TAS,"2,384,856","662,460",143,131,274,0,On,NEM,Wind,-
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED,Woolnorth Bluff Point Wind Farm Pty Ltd,F,TAS,"906,901","251,917",73,23,96,0,On,NEM,Wind,-
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED,Woolnorth Studland Bay Wind Farm Pty Ltd,F,TAS,"1,037,445","288,179",98,26,124,0,On,NEM,Wind,-
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED,Corporate Total,C,-,"4,329,203","1,202,556",314,180,494,-,-,-,-,-
SNOWTOWN SOUTH WIND FARM PTY. LTD.,SNOWTOWN SOUTH WIND FARM,F,SA,"1,526,254","423,960",72,140,212,0,On,NEM,Wind,-
SNOWTOWN SOUTH WIND FARM PTY. LTD.,Corporate Total,C,-,"1,526,254","423,960",72,140,212,-,-,-,-,-
SNOWTOWN WIND FARM PTY LTD,Snowtown Wind Farm,F,SA,"1,132,533","314,593",150,296,446,0,On,NEM,Wind,-
SNOWTOWN WIND FARM PTY LTD,Corporate Total,C,-,"1,132,533","314,593",150,296,446,-,-,-,-,-
SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,SNOWTOWN WIND FARM STAGE 2,F,SA,"1,530,961","425,267",84,179,263,0,On,NEM,Wind,-
SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,Corporate Total,C,-,"1,530,961","425,267",84,179,263,-,-,-,-,-
SNOWY HYDRO LIMITED,Angaston Power Station,F,SA,"8,615","2,393","1,652",529,"2,181",0.69,On,NEM,Diesel,-
SNOWY HYDRO LIMITED,Colongra Power Station,F,NSW,"119,511","33,198","21,872","5,879","27,751",0.66,On,NEM,Gas,-
SNOWY HYDRO LIMITED,Laverton North Power Station,F,VIC,"245,075","68,077","40,651","3,116","43,767",0.6,On,NEM,Gas,-
SNOWY HYDRO LIMITED,Lonsdale/Port Stanvac Power Station,F,SA,"11,718","3,255","2,194",861,"3,055",0.67,On,NEM,Diesel,-
SNOWY HYDRO LIMITED,Snowy Hydro Ltd,F,NSW,"11,755,368","3,265,380","3,072","295,071","298,143",0,On,NEM,Hydro,-
SNOWY HYDRO LIMITED,Valley Power,F,VIC,"28,488","7,913","6,445","2,690","9,135",0.81,On,NEM,Gas,-
SNOWY HYDRO LIMITED,Corporate Total,C,-,"12,168,775","3,380,215","75,886","308,146","384,032",-,-,-,-,-
SOLAR FARM INVESTMENTS PTY LTD,Moree Solar Farm,F,NSW,"520,928","144,702",11,668,679,0,On,NEM,Solar,-
SOLAR FARM INVESTMENTS PTY LTD,Corporate Total,C,-,"520,928","144,702",11,668,679,-,-,-,-,-
SPIC PACIFIC ENERGY PTY LTD,Challicum Hills Wind Farm,F,VIC,"507,961","141,100",39,0,39,0,On,NEM,Wind,-
SPIC PACIFIC ENERGY PTY LTD,Clements Gap Wind Farm,F,SA,"595,361","165,378",53,0,53,0,On,NEM,Wind,-
SPIC PACIFIC ENERGY PTY LTD,Codrington Wind Farm,F,VIC,"173,339","48,150",21,0,21,0,On,NEM,Wind,-
SPIC PACIFIC ENERGY PTY LTD,Crowlands Wind Farm,F,VIC,"910,960","253,045",64,0,64,0,On,NEM,Wind,-
SPIC PACIFIC ENERGY PTY LTD,Eildon Pondage Hydro,F,VIC,"30,511","8,475",5,0,5,0,On,NEM,Hydro,-
SPIC PACIFIC ENERGY PTY LTD,Glenmaggie Hydro,F,VIC,"9,457","2,627",4,0,4,0,On,NEM,Hydro,-
SPIC PACIFIC ENERGY PTY LTD,Haughton Solar Farm,F,QLD,"726,656","201,849",75,0,75,0,On,NEM,Solar,-
SPIC PACIFIC ENERGY PTY LTD,Ord Hydro,F,WA,"739,891","205,525",23,39,62,0,Off,Off-grid,Hydro,-
SPIC PACIFIC ENERGY PTY LTD,Portland Wind Farms,F,VIC,"1,563,397","434,277",92,0,92,0,On,NEM,Wind,-
SPIC PACIFIC ENERGY PTY LTD,Taralga Wind Farm,F,NSW,"1,156,139","321,150",90,0,90,0,On,NEM,Wind,-
SPIC PACIFIC ENERGY PTY LTD,The Drop Hydro,F,NSW,"3,650","1,014",0,0,0,0,On,NEM,Hydro,-
