Reporting entity,Facility name,Type,State,Electricity production (GJ),ACTUAL_GEN,EMISSION,EMISSION_SCOPE_2,TOTAL_EMISSION,EMISSION INTENSITY,Grid connected,Grid,FUELTYPE,Important notes
ACCIONA ENERGY OCEANIA PTY LTD,Cathedral Rocks Wind Farm,F,SA,"495,330","137,592",72,103,175,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,"503,254","139,793",55,336,391,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mortlake South Wind Farm,F,VIC,"369,542","102,651",73,634,707,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,F,VIC,"1,003,102","278,639",92,872,964,0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,"2,088,926","580,257",146,993,"1,139",0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,-,"4,460,154","1,238,932",438,"2,938","3,376",-,-,-,-,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,F,QLD,"584,026","162,229",0,505,505,0,On,NEM,Solar,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Corporate Total,C,-,"584,026","162,229",0,505,505,-,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,"106,971","29,714",0,7,7,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Barker Inlet Power Station,F,SA,"1,057,923","293,867","173,299","2,011","175,310",0.59,On,NEM,Gas,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,"50,733,338","14,092,594","12,569,420","28,937","12,598,357",0.89,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,"394,506","109,585",82,636,718,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,"374,389","103,997",82,316,398,0,On,NEM,Solar,-
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,"16,645","4,624",1,30,31,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,"202,806","56,335",2,162,164,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Coopers Gap Wind Farm,F,QLD,"5,130,600","1,425,167",160,"1,185","1,345",0,On,NEM,Wind,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,"166,589","46,275",1,46,47,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,"1,024,011","284,447",0,319,319,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,"1,047,673","291,020",2,37,39,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,0,0,0,9,9,0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,"1,026,839","285,233",97,158,255,0,On,NEM,Wind,-
